no,mAh,mOhm,V
56,3209,60,4.22
57,3258,52,4.21
58,3272,45,4.23
59,3313,40,4.22
60,3198,41,4.22
61,3258,36,4.22
63,3253,34,4.22
64,3208,56,4.22
65,3252,38,4.22
66,3198,37,4.22
67,3226,32,4.22
68,3208,51,4.23
69,3227,62,4.23
70,3169,36,4.22
