no,mAh,mOhm,V
a0,3027,36,4.22
a1,3117,58,4.22
a2,3084,47,4.22
a3,3118,56,4.22
a4,3050,72,4.22
a5,3061,62,4.21
a6,3064,47,4.23
a7,3088,92,4.22
a8,3050,56,4.22
a9,2706,41,4.21
a10,2490,88,4.21
a11,2735,75,4.22
a12,2683,44,4.23
a13,2771,49,4.22
a14,2815,49,4.22
a15,2777,60,4.22
b1,2831,68,4.22
b2,2653,102,4.22
b3,2763,78,4.22
b4,2830,92,4.22
