1,2.7,48
2,0.0,48
3,1.4,49
4,1.4,50
5,2.8,48
6,1.4,49
7,0.0,48
8,0.0,49
9,0.0,50
10,2.7,49
11,0.0,50
12,1.4,49
13,1.4,49
14,1.4,49
15,0.0,49
16,1.4,49
17,1.4,49
18,0.0,49
19,1.4,50
20,1.4,50
21,0.0,48
22,1.4,49
23,1.4,48
24,0.0,48
25,2.7,49
26,1.4,49
27,0.0,50
28,0.0,49
29,1.4,49
30,1.4,50
31,1.4,49
32,1.4,49
33,1.4,49
34,0.0,48
35,1.4,49
36,0.0,49
37,0.0,49
38,98.7,52
39,95.9,54
40,97.4,55
41,98.7,55
42,97.3,55
43,97.4,55
44,98.7,56
45,97.3,56
46,97.3,55
47,97.2,56
48,97.5,56
49,98.7,56
50,97.2,56
51,97.3,56
52,97.4,56
53,97.5,57
54,97.3,57
55,98.6,57
56,98.7,56
57,,56
58,98.7,57
59,97.3,57
60,97.4,57
61,97.3,56
62,97.4,57
63,98.6,57
64,97.1,57
65,97.4,57
66,98.6,57
67,97.3,57
68,97.5,58
69,98.7,57
70,98.7,57
71,97.3,57
72,98.7,57
73,97.4,57
74,97.3,58
75,95.9,57
76,97.3,57
77,97.5,58
78,98.7,57
79,98.6,58
80,97.4,58
81,98.6,57
82,98.6,57
83,97.4,57
84,97.4,57
85,97.3,57
86,98.8,59
87,97.3,58
88,96.0,58
89,98.6,57
90,97.1,58
91,97.4,58
92,97.5,58
93,97.4,57
94,98.7,58
95,97.2,57
96,98.7,57
97,97.3,58
98,98.6,59
99,97.3,58
100,96.2,58
101,98.6,58
102,97.4,59
103,97.4,58
104,97.6,58
105,97.3,57
106,97.4,58
107,97.4,58
108,98.7,57
109,98.7,59
110,98.7,58
111,98.7,59
112,98.7,58
113,97.4,59
114,98.6,58
115,97.3,57
116,97.4,59
117,98.7,59
118,95.9,58
119,97.4,58
120,97.4,58
121,,58
122,95.9,58
123,97.4,58
124,96.2,58
125,97.3,59
126,98.6,58
127,98.6,59
128,97.3,59
129,97.2,58
130,97.3,59
131,98.7,58
132,97.3,58
133,97.4,59
134,97.6,58
135,97.4,58
136,97.4,60
137,97.4,59
138,97.3,58
139,96.1,59
140,97.4,59
141,97.4,58
142,98.7,58
143,98.7,58
144,97.3,59
145,98.7,58
146,97.3,60
147,98.6,59
148,96.0,60
149,96.1,59
150,97.3,59
151,97.4,59
152,98.7,59
153,97.4,59
154,97.3,59
155,97.3,59
156,97.4,59
157,97.4,60
158,97.3,59
159,94.9,59
160,97.3,59
161,97.4,60
162,98.7,59
163,97.2,58
164,97.4,60
165,97.3,58
166,97.4,60
167,96.2,60
168,97.3,59
169,96.0,59
170,98.6,60
171,97.3,60
172,97.4,59
173,98.6,60
174,97.3,59
175,97.3,59
176,98.7,59
177,97.3,58
178,98.7,59
179,96.0,58
180,97.3,60
181,97.3,59
182,97.4,61
183,96.2,59
184,97.1,59
185,97.4,59
186,97.4,60
187,97.3,59
188,97.3,59
189,96.1,60
190,98.7,61
191,98.7,60
192,98.7,59
193,98.6,60
194,96.1,60
195,97.3,59
196,98.6,60
197,97.4,60
198,98.7,59
199,97.3,59
200,97.4,60
201,96.2,60
202,97.3,60
203,97.3,60
204,97.4,59
205,97.4,61
206,97.3,60
207,97.3,61
208,97.3,60
209,97.4,61
